Scenario_ID,Simulated_Spot,Option_Price,PnL
0,4495.083222294829,406.0655652806927,-3.7922425300757823
1,4493.24952819135,404.93349474119213,-4.924313069576328
2,4460.54218128149,385.0094471768948,-24.848360633873654
3,4500.769684439818,409.5863105937842,-0.271497216984244
4,4492.156210628083,404.25926762895506,-5.598540181813405
5,4590.55526683146,467.1577361188829,57.29992830811443
6,4431.564884523737,367.7875301263862,-42.07027768438229
7,4503.58991956352,411.3380919083311,1.4802840975626168
8,4560.266259219538,447.3254829331131,37.467675122344644
9,4450.287770798477,378.868461871351,-30.98934593941749
10,4514.88763936125,418.3930299673448,8.53522215657631
11,4550.032189264845,440.71800909063586,30.860201279867397
12,4538.827897524792,433.5388979906047,23.681090179836247
13,4432.792290851564,368.5087265761731,-41.34908123459536
14,4479.059052477574,396.2265571723201,-13.631250638448364
15,4418.958019220467,360.4227225568661,-49.43508525390234
16,4524.904220917221,424.6977535168594,14.83994570609093
17,4500.319868734527,409.3072546344101,-0.5505531763583349
18,4546.338841678508,438.34516429507494,28.487356484306474
19,4498.2711413346515,408.03747314282873,-1.8203346679397328
20,4539.46180008373,433.94353389931393,24.08572608854547
21,4533.443830696801,430.1095623911665,20.25175458039803
22,4469.290325588934,390.28841124857854,-19.569396562189922
23,4499.470564458284,408.780624210106,-1.0771836006624653
24,4507.341577788728,413.6742127658131,3.816404955044618
25,4502.190177277905,410.4681785200146,0.6103707092461264
26,4559.829480165791,447.04251189179286,37.18470408102439
27,4486.687180156929,400.8951185591618,-8.962689251606662
28,4479.098519577995,396.2506405513918,-13.607167259376638
29,4530.580866327727,428.2914604136904,18.43365260292194
30,4460.269776277938,384.8456581737878,-25.012149636980666
31,4551.733901818261,441.81339298583316,31.955585175064698
32,4541.0007520542995,434.9266530931459,25.068845282377424
33,4540.536310746274,434.62984241275944,24.77203460199098
34,4510.7588378437185,415.8078471954045,5.950039384636057
35,4537.233101764215,432.52171634236583,22.66390853159737
36,4486.340530388019,400.68236258357956,-9.175445227188902
37,4593.578874837927,469.1599656057924,59.30215779502396
38,4584.832450984916,463.37919562537854,53.52138781461008
